City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Hardy,CA,50.6996,-127.4199,48.2,100,40,5.75,fog
80,Hambantota,LK,6.1241,81.1185,82.74,83,20,13.8,few clouds
81,Tura,IN,25.5198,90.2201,75.22,89,35,4.07,scattered clouds
82,Caraz,PE,-9.0486,-77.81,66.69,62,86,3.2,light rain
83,Lagoa,PT,39.05,-27.9833,73.33,81,5,8.99,clear sky
84,Yumen,CN,40.2833,97.2,68.54,29,93,8.63,overcast clouds
85,Sept-Iles,CA,50.2001,-66.3821,59.52,56,20,16.11,few clouds
86,Half Moon Bay,US,37.4636,-122.4286,59.92,86,100,12.66,mist
87,Bichura,RU,50.5881,107.6022,40.48,68,95,4.68,overcast clouds
88,Norman Wells,CA,65.282,-126.8329,44.64,87,75,3.44,broken clouds
89,Avarua,CK,-21.2078,-159.775,69.85,88,20,2.3,few clouds
90,Porto Novo,BJ,6.4965,2.6036,82.22,66,100,9.13,overcast clouds
91,Neuquen,AR,-38.9516,-68.0591,48.09,53,0,12.66,clear sky
92,Saint-Joseph,RE,-21.3667,55.6167,70.18,77,35,14.65,light rain
93,Jamestown,US,42.097,-79.2353,74.52,66,17,5.01,few clouds
94,Liverpool,GB,53.4106,-2.9779,62.29,60,40,14.97,scattered clouds
95,Lhokseumawe,ID,5.1801,97.1507,78.04,85,67,3.24,light rain
96,Natal,BR,-5.795,-35.2094,88.02,62,75,17.27,broken clouds
97,Hudson Bay,CA,52.85,-102.3842,51.69,72,100,2.33,overcast clouds
98,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,48.06,44,97,3.49,overcast clouds
99,Barrow,US,71.2906,-156.7887,33.82,93,100,24.16,overcast clouds
100,Hare Bay,CA,48.8499,-54.0148,54.75,77,100,14.18,overcast clouds
101,Port-Gentil,GA,-0.7193,8.7815,82.36,69,75,14.97,broken clouds
102,Tual,ID,-5.6667,132.75,80.73,75,100,10.49,overcast clouds
103,Dordrecht,NL,51.81,4.6736,62.1,64,60,5.01,broken clouds
104,Pontianak,ID,-0.0333,109.3333,76.98,88,40,3.44,light rain
105,Bluff,NZ,-46.6,168.3333,42.94,82,97,8.3,overcast clouds
106,Srednekolymsk,RU,67.45,153.6833,36.43,68,100,1.3,overcast clouds
107,Doka,SD,13.5167,35.7667,77.65,84,86,9.8,light rain
108,Marzuq,YE,14.4,46.4667,86.11,34,31,11.88,scattered clouds
109,Montrose,US,38.4166,-108.2673,53.73,41,66,5.39,broken clouds
110,Elizabeth City,US,36.2946,-76.2511,77.05,75,0,8.14,clear sky
111,Nuuk,GL,64.1835,-51.7216,45.95,94,100,6.33,light rain
112,Ulaanbaatar,MN,47.9077,106.8832,35.73,80,20,2.24,few clouds
113,Pioner,RU,55.3166,85.9508,49.44,57,0,6.71,clear sky
114,Codrington,AU,-38.2667,141.9667,51.01,81,99,21.56,overcast clouds
115,Mansa,IN,29.9833,75.3833,85.41,53,39,7.52,scattered clouds
116,Hilo,US,19.7297,-155.09,83.28,87,14,3.0,few clouds
117,Iturama,BR,-19.7281,-50.1956,81.52,36,5,11.39,clear sky
118,Khatanga,RU,71.9667,102.5,26.47,87,70,8.72,broken clouds
119,Tiksi,RU,71.6872,128.8694,35.44,98,100,4.38,overcast clouds
120,Cidreira,BR,-30.1811,-50.2056,64.15,68,0,14.12,clear sky
121,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,56,40,12.66,scattered clouds
122,Esperance,AU,-33.8667,121.9,57.18,79,60,7.31,broken clouds
123,Houma,US,29.5958,-90.7195,84.99,84,0,7.0,clear sky
124,Mookane,BW,-23.688,26.6595,86.92,9,0,7.96,clear sky
125,Valday,RU,57.9747,33.2525,50.2,87,98,8.75,light rain
126,Vaini,TO,-21.2,-175.2,75.36,83,75,9.22,broken clouds
127,Clarence Town,AU,-32.5833,151.7833,61.95,58,4,11.41,clear sky
