City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
63,Pietersburg,ZA,2022-09-14 12:27:09,-23.9045,29.4688,67.05,52,20,12.66,ZA
64,Kulu,TR,2022-09-14 12:27:09,39.0951,33.0799,73.53,23,7,2.08,TR
65,Geraldton,AU,2022-09-14 12:27:10,-28.7667,114.6,59.41,77,100,8.05,AU
66,Aklavik,CA,2022-09-14 12:27:10,68.2191,-135.0107,40.26,88,100,7.09,CA
67,Kumluca,TR,2022-09-14 12:27:11,36.3703,30.2869,84.74,46,0,9.19,TR
68,Hami,CN,2022-09-14 12:23:34,42.8,93.45,78.49,16,0,8.5,CN
69,Faya,SA,2022-09-14 12:23:23,18.3851,42.4509,86.52,20,48,5.39,SA
70,Mount Gambier,AU,2022-09-14 12:27:12,-37.8333,140.7667,54.34,96,100,14.29,AU
71,Tuktoyaktuk,CA,2022-09-14 12:23:25,69.4541,-133.0374,33.03,81,96,18.25,CA
72,Chokurdakh,RU,2022-09-14 12:24:19,70.6333,147.9167,38.34,68,100,7.94,RU
73,Dhidhdhoo,MV,2022-09-14 12:27:13,6.8833,73.1,81.88,73,73,8.48,MV
74,Bandarbeyla,SO,2022-09-14 12:27:13,9.4942,50.8122,86.4,59,82,30.71,SO
75,Santa Ines,BR,2022-09-14 12:27:14,-3.6667,-45.38,84.69,62,25,6.55,BR
76,Butaritari,KI,2022-09-14 12:27:14,3.0707,172.7902,80.74,78,29,11.1,KI
77,Nabire,ID,2022-09-14 12:25:08,-3.3667,135.4833,77.34,86,39,1.88,ID
78,Amapa,BR,2022-09-14 12:27:15,1.0,-52.0,82.09,66,30,5.06,BR
79,La Ronge,CA,2022-09-14 12:27:16,55.1001,-105.2842,52.05,76,75,5.75,CA
80,Kahului,US,2022-09-14 12:24:38,20.8947,-156.47,77.85,79,0,12.66,US
81,Codrington,AU,2022-09-14 12:27:16,-38.2667,141.9667,54.55,92,100,19.42,AU
82,Lebu,CL,2022-09-14 12:27:17,-37.6167,-73.65,48.2,75,67,4.34,CL
83,Mar Del Plata,AR,2022-09-14 12:27:17,-38.0023,-57.5575,48.09,94,100,4.61,AR
84,Ushuaia,AR,2022-09-14 12:26:50,-54.8,-68.3,40.66,48,0,2.3,AR
85,Husavik,IS,2022-09-14 12:27:18,66.0449,-17.3389,42.91,77,99,11.01,IS
86,Puerto Ayora,EC,2022-09-14 12:27:19,-0.7393,-90.3518,63.55,100,99,4.0,EC
87,Tazovskiy,RU,2022-09-14 12:27:19,67.4667,78.7,44.94,93,100,8.46,RU
88,Tura,IN,2022-09-14 12:27:19,25.5198,90.2201,74.25,97,90,5.12,IN
89,Laguna,US,2022-09-14 12:27:20,38.421,-121.4238,60.78,84,0,9.22,US
90,Port Blair,IN,2022-09-14 12:27:20,11.6667,92.75,80.64,83,75,5.75,IN
91,Tasiilaq,GL,2022-09-14 12:27:21,65.6145,-37.6368,35.76,70,6,5.97,GL
92,Caernarfon,GB,2022-09-14 12:28:22,53.1413,-4.2702,60.53,77,75,12.66,GB
93,Tarnos,FR,2022-09-14 12:28:23,43.5417,-1.4628,87.67,39,75,12.66,FR
94,Peleduy,RU,2022-09-14 12:28:23,59.6289,112.7406,44.26,75,98,4.18,RU
95,Dikson,RU,2022-09-14 12:28:24,73.5069,80.5464,38.89,70,53,14.97,RU
96,Berlevag,NO,2022-09-14 12:28:24,70.8578,29.0864,44.6,61,40,5.75,NO
97,Clyde River,CA,2022-09-14 12:28:25,70.4692,-68.5914,37.63,100,100,6.91,CA
98,Touros,BR,2022-09-14 12:23:35,-5.1989,-35.4608,82.53,67,50,16.58,BR
99,Vigrestad,NO,2022-09-14 12:23:39,58.5667,5.7,56.59,76,88,16.58,NO
100,Carnarvon,AU,2022-09-14 12:28:26,-24.8667,113.6333,66.02,62,51,24.56,AU
101,Westport,US,2022-09-14 12:23:32,41.1415,-73.3579,67.26,85,0,7.0,US
102,Hilo,US,2022-09-14 12:28:27,19.7297,-155.09,76.28,73,20,5.75,US
103,Vaini,TO,2022-09-14 12:28:27,-21.2,-175.2,75.36,88,20,5.75,TO
104,Tulum,MX,2022-09-14 12:28:28,20.2167,-87.4667,77.95,93,95,5.32,MX
105,Tiksi,RU,2022-09-14 12:28:28,71.6872,128.8694,36.77,98,100,0.72,RU
106,Hermanus,ZA,2022-09-14 12:28:29,-34.4187,19.2345,79.81,54,0,5.59,ZA
107,Kiruna,SE,2022-09-14 12:28:29,67.8557,20.2251,38.32,100,100,6.91,SE
108,Qaanaaq,GL,2022-09-14 12:28:30,77.484,-69.3632,33.06,77,82,4.92,GL
109,Baghdad,IQ,2022-09-14 12:28:22,33.3406,44.4009,105.71,14,0,11.5,IQ
110,Lulea,SE,2022-09-14 12:28:30,65.5842,22.1547,53.67,87,75,4.61,SE
111,Ahipara,NZ,2022-09-14 12:28:31,-35.1667,173.1667,49.64,76,7,4.99,NZ
112,Tocopilla,CL,2022-09-14 12:28:31,-22.092,-70.1979,62.74,58,3,1.59,CL
113,Cairns,AU,2022-09-14 12:28:32,-16.9167,145.7667,73.35,84,16,6.91,AU
114,Hualmay,PE,2022-09-14 12:28:32,-11.0964,-77.6139,59.54,85,76,6.67,PE
115,Ambilobe,MG,2022-09-14 12:28:33,-13.2,49.05,85.12,41,89,3.69,MG
116,Tanout,NE,2022-09-14 12:28:33,14.9709,8.8879,94.8,32,7,7.27,NE
117,Hobart,AU,2022-09-14 12:27:05,-42.8794,147.3294,46.26,72,0,5.75,AU
118,Ponta Do Sol,PT,2022-09-14 12:28:34,32.6667,-17.1,81.23,57,19,5.48,PT
119,Doba,TD,2022-09-14 12:28:34,8.65,16.85,85.33,65,99,4.63,TD
120,Barrow,US,2022-09-14 12:28:34,71.2906,-156.7887,33.82,93,100,21.85,US
121,Sassari,IT,2022-09-14 12:28:35,40.7272,8.5603,87.58,48,98,10.83,IT
122,Jega,NG,2022-09-14 12:28:36,12.2175,4.3792,89.02,58,8,4.65,NG
123,Cheremukhovo,RU,2022-09-14 12:28:36,60.3484,59.9851,55.15,61,63,1.95,RU
124,Bengkulu,ID,2022-09-14 12:28:37,-3.8004,102.2655,77.92,84,64,8.08,ID
125,Iqaluit,CA,2022-09-14 12:28:37,63.7506,-68.5145,42.53,81,75,4.61,CA
126,Olecko,PL,2022-09-14 12:28:38,54.0337,22.507,61.77,65,51,12.64,PL
127,Saint-Augustin,CA,2022-09-14 12:28:38,51.226,-58.6502,59.88,77,100,8.52,CA
128,Muros,ES,2022-09-14 12:28:38,42.7762,-9.0603,72.09,85,86,17.96,ES
129,Broome,US,2022-09-14 12:28:39,42.2506,-75.833,57.42,88,100,5.75,US
130,La Paz,BO,2022-09-14 12:28:39,-16.5,-68.15,44.58,81,75,2.3,BO
131,Luanda,AO,2022-09-14 12:28:40,-8.8368,13.2343,76.28,74,60,12.5,AO
132,Kemi,FI,2022-09-14 12:28:40,65.8596,24.8228,53.37,94,100,5.75,FI
133,Ende,ID,2022-09-14 12:28:41,-8.8432,121.6623,77.76,87,54,4.23,ID
134,Eureka,US,2022-09-14 12:28:41,40.8021,-124.1637,53.92,93,93,4.07,US
135,Hithadhoo,MV,2022-09-14 12:28:42,-0.6,73.0833,82.33,70,16,5.88,MV
136,Half Moon Bay,US,2022-09-14 12:29:45,37.4636,-122.4286,62.92,91,100,18.41,US
137,Kodiak,US,2022-09-14 12:29:45,57.79,-152.4072,45.91,93,75,4.61,US
138,Muscat,OM,2022-09-14 12:29:46,23.6139,58.5922,91.42,52,5,5.19,OM
139,Kilifi,KE,2022-09-14 12:29:46,-3.6305,39.8499,80.1,67,55,16.62,KE
140,Lamesa,US,2022-09-14 12:27:35,32.7376,-101.951,66.52,74,49,7.81,US
141,Vardo,NO,2022-09-14 12:29:46,70.3705,31.1107,44.58,70,100,5.75,NO
142,Diepholz,DE,2022-09-14 12:29:47,52.6,8.3667,66.72,69,100,3.76,DE
143,Bulgan,MN,2022-09-14 12:29:47,48.8125,103.5347,51.42,61,95,7.02,MN
144,Naze,JP,2022-09-14 12:29:47,28.3667,129.4833,81.52,84,25,18.19,JP
